epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7288,1.19043,1.65711,1.05453,0.71159,0.62051,0.64576,0.42331,1.36248,1.92907,1.12819,0.000548972,0.000548972,0.000548972
2,49.4783,1.3377,1.28973,1.12951,0.68184,0.59676,0.66901,0.40226,1.39646,1.41824,1.31439,0.00109006,0.00109006,0.00109006
3,76.1226,1.35574,1.35402,1.15611,0.27172,0.49961,0.27292,0.14941,1.69446,1.99024,1.52462,0.00161647,0.00161647,0.00161647
4,103.744,1.51856,1.51271,1.25159,0.35501,0.34982,0.42126,0.2503,1.57138,3.51254,1.6611,0.00160099,0.00160099,0.00160099
5,131.146,1.45557,1.27311,1.21092,0.94583,0.43878,0.66791,0.39925,1.43087,1.39741,1.42998,0.00157898,0.00157898,0.00157898
6,157.689,1.46667,1.34145,1.2205,0.62775,0.6446,0.68079,0.43682,1.33317,1.33397,1.3147,0.00155698,0.00155698,0.00155698
7,184.737,1.49928,1.26592,1.22992,0.49594,0.7402,0.71332,0.44007,1.5142,1.44183,1.43091,0.00153497,0.00153497,0.00153497
8,212.492,1.42813,1.17543,1.19173,0.73507,0.79727,0.74936,0.47137,1.28732,1.16944,1.26066,0.00151297,0.00151297,0.00151297
9,240.012,1.33072,1.06355,1.182,0.56291,0.73277,0.71951,0.44114,1.11033,1.19295,1.18034,0.00149096,0.00149096,0.00149096
10,267.247,1.25533,0.94348,1.1355,0.6341,0.7199,0.64905,0.43396,1.25739,1.20162,1.28183,0.00146896,0.00146896,0.00146896
11,294.036,1.27736,0.97015,1.15303,0.48426,0.67616,0.53865,0.41015,1.16303,1.81861,1.21171,0.00144696,0.00144696,0.00144696
12,320.452,1.27492,0.94118,1.12104,0.58202,0.69542,0.59252,0.43022,1.15821,1.40358,1.17569,0.00142495,0.00142495,0.00142495
13,346.878,1.28823,1.07995,1.11549,0.76803,0.65499,0.72585,0.49602,1.16094,0.93232,1.17293,0.00140295,0.00140295,0.00140295
14,377.697,1.21845,0.93326,1.14282,0.70837,0.69503,0.76159,0.53137,1.02428,0.91587,1.15909,0.00138094,0.00138094,0.00138094
15,404.55,1.21142,0.86446,1.09435,0.66819,0.77362,0.76039,0.5203,1.13625,0.87512,1.17981,0.00135894,0.00135894,0.00135894
16,429.909,1.23775,0.92433,1.1442,0.62781,0.7886,0.72917,0.52003,1.11004,0.97303,1.15774,0.00133693,0.00133693,0.00133693
17,454.058,1.20342,0.88007,1.1161,0.71858,0.75164,0.75485,0.51924,1.09074,0.90029,1.16883,0.00131493,0.00131493,0.00131493
18,478.758,1.17713,0.84414,1.07963,0.6898,0.75087,0.77684,0.52283,1.15344,0.79542,1.19852,0.00129293,0.00129293,0.00129293
19,503.784,1.16554,0.8562,1.08871,0.75354,0.7037,0.73412,0.50527,1.13053,0.89163,1.17479,0.00127092,0.00127092,0.00127092
20,528.88,1.10979,0.81245,1.06173,0.68415,0.73046,0.77792,0.52681,1.10026,0.94856,1.19254,0.00124892,0.00124892,0.00124892
21,553.609,1.1642,0.83685,1.07409,0.66486,0.72333,0.70254,0.51948,1.01324,1.24563,1.10723,0.00122691,0.00122691,0.00122691
22,578.55,1.11541,0.80568,1.02243,0.71168,0.75241,0.77719,0.54351,1.10724,0.81676,1.1643,0.00120491,0.00120491,0.00120491
